"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","guardian.mat","traveltime.mat","studytime.mat","failures.mat","schoolsup.mat","famsup.mat","paid.mat","activities.mat","higher.mat","romantic.mat","famrel.mat","freetime.mat","goout.mat","Dalc.mat","Walc.mat","health.mat","absences.mat","G1.mat","G2.mat","G3.mat","guardian.por","traveltime.por","studytime.por","failures.por","schoolsup.por","famsup.por","paid.por","activities.por","higher.por","romantic.por","famrel.por","freetime.por","goout.por","Dalc.por","Walc.por","health.por","absences.por","G1.por","G2.por","G3.por","predicciones","Peso","Peso_por","ID","G3.por_pred","diferencia_por","G3.mat_pred","diferencia_mat"
"GP","F",15,"U","GT3","A",4,3,"services","services","reputation","yes","yes","mother",1,2,0,"no","yes","yes","yes","yes","no",4,3,2,1,1,1,0,14,15,15,"mother",1,2,0,"no","yes","no","yes","yes","no",4,3,2,1,1,1,0,15,14,15,15.2404175177479,1,1,11,14.3918984600984,0.608101539901552,15.12308377413,-0.123083774129997
"GP","F",15,"U","GT3","T",1,1,"at_home","other","course","no","yes","mother",3,1,0,"no","yes","no","yes","yes","yes",4,3,3,1,2,4,0,8,0,0,"mother",3,1,0,"no","yes","no","yes","yes","yes",4,3,3,1,2,4,6,11,12,13,11.4658409383111,1,1,12,12.262016701532,0.737983298467991,0,0
"GP","F",15,"U","GT3","T",1,1,"other","other","home","no","yes","father",1,2,0,"no","yes","no","yes","yes","no",4,3,2,2,3,4,2,9,10,10,"father",1,2,0,"no","yes","no","yes","yes","no",4,3,2,2,3,4,2,13,12,12,13.3531292280295,1,1,13,12.262016701532,-0.262016701532009,9.60105080185389,0.398949198146115
"GP","F",15,"U","GT3","T",1,1,"other","services","course","yes","yes","father",1,2,0,"no","yes","yes","no","yes","no",4,4,2,1,2,5,0,8,11,11,"father",1,2,0,"no","yes","no","no","yes","no",4,4,2,1,2,5,0,12,12,12,12.4094850831703,1,1,14,12.262016701532,-0.262016701532009,10.7054573963091,0.294542603690893
"GP","F",15,"U","GT3","T",1,2,"at_home","other","course","no","yes","mother",1,2,0,"no","yes","yes","no","yes","no",4,3,2,1,1,5,2,10,11,11,"mother",1,2,0,"no","yes","no","no","yes","no",4,3,2,1,1,5,6,13,12,13,13.3531292280295,1,1,15,12.262016701532,0.737983298467991,10.7054573963091,0.294542603690893
"GP","F",15,"U","GT3","T",1,2,"at_home","services","course","no","yes","mother",1,2,0,"no","no","no","no","yes","no",3,2,3,1,2,1,2,16,15,15,"mother",1,2,0,"no","no","no","no","yes","no",3,2,3,1,2,1,0,14,14,14,14.2967733728887,1,1,16,14.3918984600984,-0.391898460098448,15.12308377413,-0.123083774129997
"GP","F",15,"U","GT3","T",2,1,"services","other","reputation","yes","yes","father",3,3,0,"no","yes","no","yes","yes","no",5,2,2,1,1,4,4,10,12,12,"father",3,3,0,"no","yes","no","yes","yes","no",5,2,2,1,1,4,0,10,12,13,10.5221967934519,1,1,17,12.262016701532,0.737983298467991,11.8098639907643,0.190136009235671
"GP","F",15,"U","GT3","T",2,2,"other","other","course","yes","yes","mother",1,4,0,"yes","yes","yes","no","yes","no",5,1,2,1,1,3,8,7,8,8,"mother",1,4,0,"yes","yes","no","no","yes","no",5,1,2,1,1,3,4,10,10,10,10.5221967934519,1,1,18,10.1321349429656,-0.132134942965571,7.39223761294344,0.607762387056559
"GP","F",15,"U","GT3","T",2,3,"other","other","other","yes","no","father",2,1,0,"no","yes","no","yes","yes","no",3,5,1,1,1,5,0,8,7,6,"father",2,1,0,"no","yes","no","yes","yes","no",3,5,1,1,1,5,4,11,11,11,11.4658409383111,1,1,19,11.1970758222488,-0.19707582224879,6.28783101848822,-0.287831018488219
"GP","F",15,"U","GT3","T",3,2,"health","services","home","yes","yes","father",1,2,3,"no","yes","no","no","yes","no",3,3,2,1,1,3,0,6,7,0,"father",1,2,1,"no","yes","no","no","yes","no",3,3,2,1,1,3,2,11,11,11,11.4658409383111,1,1,20,11.1970758222488,-0.19707582224879,6.28783101848822,-6.28783101848822
"GP","F",15,"U","GT3","T",3,2,"services","other","home","yes","yes","mother",2,2,0,"yes","yes","yes","no","yes","no",4,3,5,1,1,2,26,7,6,6,"mother",2,2,0,"yes","yes","no","no","yes","no",4,3,5,1,1,2,16,11,10,10,11.4658409383111,1,1,21,10.1321349429656,-0.132134942965571,5.183424424033,0.816575575967003
"GP","F",15,"U","GT3","T",4,2,"health","services","home","yes","yes","mother",1,3,0,"no","yes","yes","yes","yes","yes",3,2,2,1,1,5,2,15,14,15,"mother",1,3,0,"no","yes","no","yes","yes","yes",3,2,2,1,1,5,0,14,14,14,14.2967733728887,1,1,22,14.3918984600984,-0.391898460098448,14.0186771796748,0.981322820325227
"GP","F",15,"U","GT3","T",4,2,"other","other","reputation","yes","yes","mother",1,3,0,"no","yes","no","yes","yes","no",5,3,3,1,3,1,4,13,14,14,"mother",1,3,0,"no","yes","no","yes","yes","no",5,3,3,1,3,1,4,15,15,15,15.2404175177479,1,1,23,15.4568393393817,-0.456839339381668,14.0186771796748,-0.0186771796747731
"GP","F",15,"U","GT3","T",4,3,"services","other","reputation","yes","yes","mother",1,1,0,"no","no","yes","yes","yes","no",4,5,5,1,3,1,4,16,17,18,"mother",1,1,0,"no","no","no","yes","yes","no",4,5,5,1,3,1,6,14,13,13,14.2967733728887,1,1,24,13.3269575808152,-0.326957580815229,17.3318969630404,0.668103036959565
"GP","F",15,"U","GT3","T",4,4,"services","at_home","course","yes","yes","mother",1,3,0,"no","yes","no","yes","yes","yes",4,3,3,1,1,5,0,11,0,0,"mother",1,3,0,"no","yes","no","yes","yes","yes",4,3,3,1,1,5,4,13,14,15,13.3531292280295,1,1,25,14.3918984600984,0.608101539901552,0,0
"GP","F",15,"U","GT3","T",4,4,"services","services","course","yes","yes","mother",1,1,0,"yes","yes","yes","no","yes","no",3,3,4,2,3,5,0,8,10,11,"mother",1,1,0,"yes","yes","no","no","yes","no",3,3,4,2,3,5,0,13,12,12,13.3531292280295,1,1,26,12.262016701532,-0.262016701532009,9.60105080185389,1.39894919814611
"GP","F",15,"U","GT3","T",4,4,"services","services","reputation","yes","yes","father",2,2,2,"no","no","yes","no","yes","yes",4,4,4,2,3,5,6,7,9,8,"father",2,2,0,"no","no","no","no","yes","yes",4,4,4,2,3,5,4,12,11,12,12.4094850831703,1,1,27,11.1970758222488,0.80292417775121,8.49664420739866,-0.496644207398663
"GP","F",15,"U","GT3","T",4,4,"services","teacher","other","no","yes","father",1,2,1,"yes","yes","no","yes","yes","no",4,4,4,1,1,3,2,7,7,7,"father",1,2,0,"yes","yes","no","yes","yes","no",4,4,4,1,1,3,2,13,12,12,13.3531292280295,1,1,28,12.262016701532,-0.262016701532009,6.28783101848822,0.712168981511781
"GP","F",15,"U","GT3","T",4,4,"teacher","health","reputation","yes","yes","mother",1,2,0,"no","yes","yes","no","yes","no",3,3,3,1,2,2,0,10,8,9,"mother",1,2,0,"no","yes","no","no","yes","no",3,3,3,1,2,2,2,14,14,14,14.2967733728887,1,1,29,14.3918984600984,-0.391898460098448,7.39223761294344,1.60776238705656
"GP","F",15,"U","GT3","T",4,4,"teacher","services","course","yes","yes","mother",1,3,0,"no","yes","yes","yes","yes","no",4,2,2,1,1,5,2,9,11,11,"mother",1,3,0,"no","yes","no","yes","yes","no",4,2,2,1,1,5,2,13,13,13,13.3531292280295,1,1,30,13.3269575808152,-0.326957580815229,10.7054573963091,0.294542603690893
"GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","yes","yes","mother",2,1,0,"no","no","no","yes","yes","no",4,3,2,1,1,5,0,16,16,15,"mother",2,1,0,"no","no","no","yes","yes","no",4,3,2,1,1,5,6,13,14,14,13.3531292280295,1,1,31,14.3918984600984,-0.391898460098448,16.2274903685852,-1.22749036858522
"GP","F",15,"U","LE3","A",3,3,"other","other","other","yes","yes","mother",1,1,0,"no","no","yes","no","yes","no",5,3,4,4,4,1,6,10,13,13,"mother",1,1,0,"no","no","no","no","yes","no",5,3,4,4,4,1,0,13,12,13,13.3531292280295,1,1,32,12.262016701532,0.737983298467991,12.9142705852196,0.0857294147804488
"GP","F",15,"U","LE3","A",3,4,"other","other","home","yes","yes","mother",1,2,0,"yes","no","no","yes","yes","yes",5,3,2,1,1,1,0,7,10,11,"mother",1,2,0,"yes","no","no","yes","yes","yes",5,3,2,1,1,1,0,10,11,11,10.5221967934519,1,1,33,11.1970758222488,-0.19707582224879,9.60105080185389,1.39894919814611
"GP","F",15,"U","LE3","A",4,3,"other","other","course","yes","yes","mother",1,2,0,"yes","yes","yes","yes","yes","yes",5,2,2,1,1,5,8,8,8,6,"mother",1,2,0,"yes","yes","yes","yes","yes","yes",5,2,2,1,1,5,4,10,11,11,10.5221967934519,1,1,34,11.1970758222488,-0.19707582224879,7.39223761294344,-1.39223761294344
"GP","F",15,"U","LE3","T",1,1,"at_home","other","other","yes","yes","mother",1,2,3,"yes","no","yes","no","yes","no",4,3,2,2,3,3,10,7,8,10,"mother",1,2,0,"yes","no","no","no","yes","no",4,3,2,2,3,3,6,12,13,12,12.4094850831703,1,1,35,13.3269575808152,-1.32695758081523,7.39223761294344,2.60776238705656
"GP","F",15,"U","LE3","T",3,2,"services","other","reputation","yes","yes","mother",1,2,0,"no","yes","yes","no","yes","no",4,4,4,1,1,5,10,7,6,6,"mother",1,2,0,"no","yes","no","no","yes","no",4,4,4,1,1,5,4,12,11,11,12.4094850831703,1,1,36,11.1970758222488,-0.19707582224879,5.183424424033,0.816575575967003
"GP","F",15,"U","LE3","T",4,2,"health","other","other","yes","yes","mother",1,2,0,"no","yes","yes","no","yes","no",4,3,3,1,1,5,2,11,13,13,"mother",1,2,0,"no","yes","no","no","yes","no",4,3,3,1,1,5,0,16,14,16,16.1840616626071,1,1,37,14.3918984600984,1.60810153990155,12.9142705852196,0.0857294147804488
"GP","F",15,"U","LE3","T",4,3,"services","services","reputation","yes","yes","father",1,2,0,"yes","no","no","yes","yes","yes",4,4,4,2,4,2,0,10,10,10,"father",1,2,0,"yes","no","no","yes","yes","yes",4,4,4,2,4,2,0,13,12,12,13.3531292280295,1,1,38,12.262016701532,-0.262016701532009,9.60105080185389,0.398949198146115
"GP","F",16,"R","GT3","T",2,2,"services","services","reputation","no","yes","mother",2,4,0,"no","yes","yes","yes","yes","no",5,3,5,1,1,5,6,10,10,11,"mother",2,4,0,"no","yes","no","yes","yes","no",5,3,5,1,1,5,6,13,13,13,13.3531292280295,1,1,39,13.3269575808152,-0.326957580815229,9.60105080185389,1.39894919814611
"GP","F",16,"R","GT3","T",3,3,"services","other","reputation","yes","yes","father",1,3,1,"yes","yes","no","yes","yes","no",4,1,2,1,1,2,0,7,10,10,"father",1,3,0,"yes","yes","no","yes","yes","no",4,1,2,1,1,2,4,11,11,11,11.4658409383111,1,1,40,11.1970758222488,-0.19707582224879,9.60105080185389,0.398949198146115
"GP","F",16,"R","GT3","T",4,4,"health","teacher","other","yes","no","mother",1,2,0,"no","yes","no","yes","yes","no",2,4,4,2,3,4,6,10,11,11,"mother",1,2,0,"no","yes","no","yes","yes","no",2,4,4,2,3,4,0,17,16,16,17.1277058074663,1,1,41,16.5217802186649,-0.521780218664887,10.7054573963091,0.294542603690893
"GP","F",16,"U","GT3","A",2,1,"other","other","other","yes","yes","mother",1,2,0,"no","no","yes","yes","yes","yes",5,3,4,1,1,2,8,8,9,10,"mother",1,2,0,"no","no","no","yes","yes","yes",5,3,4,1,1,2,2,12,13,12,12.4094850831703,1,1,42,13.3269575808152,-1.32695758081523,8.49664420739866,1.50335579260134
"GP","F",16,"U","GT3","A",2,2,"other","other","reputation","yes","yes","mother",1,2,0,"yes","yes","yes","no","yes","no",3,3,4,1,1,4,0,12,13,14,"mother",1,2,0,"yes","yes","no","no","yes","no",3,3,4,1,1,4,0,13,13,13,13.3531292280295,1,1,43,13.3269575808152,-0.326957580815229,12.9142705852196,1.08572941478045
"GP","F",16,"U","GT3","A",3,1,"services","other","course","yes","yes","mother",1,2,3,"no","yes","yes","no","yes","no",2,3,3,2,2,4,5,7,7,7,"mother",1,2,0,"no","yes","no","no","yes","no",2,3,3,2,2,4,2,11,11,12,11.4658409383111,1,1,44,11.1970758222488,0.80292417775121,6.28783101848822,0.712168981511781
"GP","F",16,"U","GT3","A",3,3,"other","other","course","no","yes","other",2,1,2,"no","yes","no","yes","yes","yes",4,3,2,1,1,5,0,4,0,0,"other",2,1,0,"no","yes","no","yes","yes","yes",4,3,2,1,1,5,4,9,9,10,9.57855264859274,1,1,45,9.06719406368235,0.932805936317649,0,0
"GP","F",16,"U","GT3","A",3,4,"services","other","course","yes","yes","father",1,1,0,"no","no","no","no","yes","no",3,2,1,1,4,5,16,12,11,11,"father",1,1,0,"no","no","no","no","yes","no",3,2,1,1,4,5,12,15,13,14,15.2404175177479,1,1,46,13.3269575808152,0.673042419184771,10.7054573963091,0.294542603690893
"GP","F",16,"U","GT3","T",1,1,"at_home","other","home","yes","no","mother",2,1,0,"no","yes","yes","no","yes","no",4,3,2,1,4,5,6,9,9,10,"mother",2,1,0,"no","yes","no","no","yes","no",4,3,2,1,4,5,2,12,13,13,12.4094850831703,1,1,47,13.3269575808152,-0.326957580815229,8.49664420739866,1.50335579260134
"GP","F",16,"U","GT3","T",1,1,"services","services","course","no","yes","father",4,1,0,"yes","yes","no","yes","yes","yes",5,5,5,5,5,5,6,10,8,11,"father",4,1,0,"yes","yes","no","yes","yes","yes",5,5,5,5,5,5,0,10,10,16,10.5221967934519,1,1,48,10.1321349429656,5.86786505703443,7.39223761294344,3.60776238705656
"GP","F",16,"U","GT3","T",1,3,"at_home","services","home","no","yes","mother",1,2,3,"no","no","no","yes","yes","yes",4,3,5,1,1,3,0,8,7,0,"mother",1,2,0,"no","no","no","yes","yes","yes",4,3,5,1,1,3,0,14,13,13,14.2967733728887,1,1,49,13.3269575808152,-0.326957580815229,6.28783101848822,-6.28783101848822
"GP","F",16,"U","GT3","T",2,1,"other","other","course","yes","no","mother",1,2,0,"no","yes","yes","no","yes","yes",4,3,5,1,1,5,2,8,9,10,"mother",1,2,0,"no","yes","no","no","yes","yes",4,3,5,1,1,5,0,13,12,12,13.3531292280295,1,1,50,12.262016701532,-0.262016701532009,8.49664420739866,1.50335579260134
"GP","F",16,"U","GT3","T",2,1,"other","other","home","yes","yes","mother",1,1,0,"no","no","no","no","yes","yes",4,5,2,1,1,5,20,13,12,12,"mother",1,1,0,"no","no","no","no","yes","yes",4,5,2,1,1,5,4,9,10,10,9.57855264859274,1,1,51,10.1321349429656,-0.132134942965571,11.8098639907643,0.190136009235671
"GP","F",16,"U","GT3","T",2,2,"at_home","other","home","yes","yes","mother",1,2,1,"yes","no","no","yes","yes","no",3,1,2,1,1,5,6,10,13,13,"mother",1,2,1,"yes","no","no","yes","yes","no",3,1,2,1,1,5,12,8,10,10,8.63490850373355,1,1,52,10.1321349429656,-0.132134942965571,12.9142705852196,0.0857294147804488
"GP","F",16,"U","GT3","T",2,2,"other","other","home","no","yes","mother",1,2,0,"no","yes","yes","no","yes","no",5,1,5,1,1,4,0,6,7,0,"mother",1,2,0,"no","yes","no","no","yes","no",5,1,5,1,1,4,0,12,12,13,12.4094850831703,1,1,53,12.262016701532,0.737983298467991,6.28783101848822,-6.28783101848822
"GP","F",16,"U","GT3","T",2,2,"other","other","home","yes","yes","mother",1,2,0,"no","no","yes","no","yes","yes",5,4,4,1,1,5,0,8,7,8,"mother",1,2,0,"no","no","no","no","yes","yes",5,4,4,1,1,5,0,12,11,11,12.4094850831703,1,1,54,11.1970758222488,-0.19707582224879,6.28783101848822,1.71216898151178
"GP","F",16,"U","GT3","T",2,2,"other","other","reputation","yes","yes","mother",1,4,0,"no","no","yes","no","yes","yes",5,2,3,1,3,3,0,11,11,11,"mother",1,4,0,"no","no","no","no","yes","yes",5,2,3,1,3,3,1,13,13,13,13.3531292280295,1,1,55,13.3269575808152,-0.326957580815229,10.7054573963091,0.294542603690893
"GP","F",16,"U","GT3","T",2,2,"services","other","reputation","no","yes","mother",2,2,0,"no","no","yes","yes","yes","no",3,4,4,1,4,5,2,13,13,11,"mother",2,2,0,"no","no","no","yes","yes","no",3,4,4,1,4,5,0,13,12,14,13.3531292280295,1,1,56,12.262016701532,1.73798329846799,12.9142705852196,-1.91427058521955
"GP","F",16,"U","GT3","T",2,2,"services","services","home","no","yes","mother",1,1,2,"no","yes","yes","no","yes","no",1,2,2,1,3,5,14,6,9,8,"mother",1,1,0,"no","yes","no","no","yes","no",1,2,2,1,3,5,6,10,11,12,10.5221967934519,1,1,57,11.1970758222488,0.80292417775121,8.49664420739866,-0.496644207398663
"GP","F",16,"U","GT3","T",2,3,"other","other","reputation","yes","no","mother",1,2,0,"yes","yes","yes","yes","yes","no",4,4,3,1,3,4,6,8,10,10,"mother",1,2,0,"yes","yes","no","yes","yes","no",4,4,3,1,3,4,4,11,12,12,11.4658409383111,1,1,58,12.262016701532,-0.262016701532009,9.60105080185389,0.398949198146115
"GP","F",16,"U","GT3","T",2,3,"services","services","course","yes","yes","mother",1,2,0,"no","no","no","no","yes","no",4,3,3,1,1,2,10,11,12,13,"mother",1,2,0,"no","no","no","no","yes","no",4,3,3,1,1,2,6,12,12,13,12.4094850831703,1,1,59,12.262016701532,0.737983298467991,11.8098639907643,1.19013600923567
"GP","F",16,"U","GT3","T",2,3,"services","teacher","other","yes","yes","mother",1,2,0,"yes","no","no","no","yes","no",2,3,1,1,1,3,2,16,16,17,"mother",1,2,0,"yes","no","no","no","yes","no",2,3,1,1,1,3,0,13,13,14,13.3531292280295,1,1,60,13.3269575808152,0.673042419184771,16.2274903685852,0.772509631414785
"GP","F",16,"U","GT3","T",3,1,"services","other","course","yes","yes","mother",1,4,0,"yes","yes","yes","no","yes","no",4,3,3,1,2,5,4,7,7,6,"mother",1,4,0,"yes","yes","no","no","yes","no",4,3,3,1,2,5,0,10,9,10,10.5221967934519,1,1,61,9.06719406368235,0.932805936317649,6.28783101848822,-0.287831018488219
"GP","F",16,"U","GT3","T",3,2,"other","other","reputation","yes","yes","mother",1,2,0,"no","yes","yes","no","yes","no",1,2,2,1,2,1,14,12,13,12,"mother",1,2,0,"no","yes","no","no","yes","no",1,2,2,1,2,1,8,14,15,16,14.2967733728887,1,1,62,15.4568393393817,0.543160660618332,12.9142705852196,-0.914270585219551
"GP","F",16,"U","GT3","T",3,3,"other","other","home","yes","no","father",1,2,0,"no","yes","yes","no","yes","no",4,3,2,1,2,5,4,6,10,10,"father",1,2,0,"no","yes","no","no","yes","no",4,3,2,1,2,5,0,11,13,13,11.4658409383111,1,1,63,13.3269575808152,-0.326957580815229,9.60105080185389,0.398949198146115
"GP","F",16,"U","GT3","T",3,3,"other","other","home","yes","yes","mother",1,3,0,"no","yes","yes","no","yes","yes",4,3,3,1,3,4,0,7,7,8,"mother",1,3,0,"no","yes","no","no","yes","yes",4,3,3,1,3,4,2,9,11,11,9.57855264859274,1,1,64,11.1970758222488,-0.19707582224879,6.28783101848822,1.71216898151178
"GP","F",16,"U","GT3","T",3,3,"other","other","reputation","yes","no","mother",3,2,0,"yes","yes","no","yes","yes","no",5,3,2,1,1,4,4,8,10,10,"mother",3,2,0,"yes","yes","no","yes","yes","no",5,3,2,1,1,4,2,13,14,14,13.3531292280295,1,1,65,14.3918984600984,-0.391898460098448,9.60105080185389,0.398949198146115
"GP","F",16,"U","GT3","T",3,3,"other","services","home","yes","yes","mother",1,2,0,"yes","yes","yes","yes","yes","no",4,3,3,2,4,5,54,11,12,11,"mother",1,2,0,"yes","yes","no","yes","yes","no",4,3,3,2,4,5,4,11,11,11,11.4658409383111,1,1,66,11.1970758222488,-0.19707582224879,11.8098639907643,-0.809863990764329
"GP","F",16,"U","GT3","T",3,4,"at_home","other","course","yes","yes","mother",1,2,0,"no","yes","no","no","yes","no",2,4,3,1,2,3,12,5,5,5,"mother",1,2,0,"no","yes","no","no","yes","no",2,4,3,1,2,3,14,12,11,11,12.4094850831703,1,1,67,11.1970758222488,-0.19707582224879,4.07901782957777,0.920982170422225
"GP","F",16,"U","GT3","T",4,2,"health","services","home","yes","yes","father",1,2,0,"no","no","yes","no","yes","yes",4,2,3,1,1,3,0,14,15,16,"father",1,2,0,"no","no","no","no","yes","yes",4,2,3,1,1,3,0,17,17,18,17.1277058074663,1,1,68,17.5867210979481,0.413278902051893,15.12308377413,0.876916225870003
"GP","F",16,"U","GT3","T",4,2,"services","other","course","yes","yes","mother",1,2,0,"no","yes","no","no","yes","no",4,2,3,1,1,5,2,15,16,16,"mother",1,2,0,"no","yes","yes","no","yes","no",4,2,3,1,1,5,2,16,15,16,16.1840616626071,1,1,69,15.4568393393817,0.543160660618332,16.2274903685852,-0.227490368585215
"GP","F",16,"U","GT3","T",4,2,"teacher","services","home","yes","yes","mother",2,2,0,"no","yes","yes","yes","yes","no",5,3,3,1,1,1,0,11,10,10,"mother",2,2,0,"no","yes","no","yes","yes","no",5,3,3,1,1,1,2,13,14,14,13.3531292280295,1,1,70,14.3918984600984,-0.391898460098448,9.60105080185389,0.398949198146115
"GP","F",16,"U","GT3","T",4,3,"health","other","home","yes","yes","mother",1,2,0,"no","yes","no","yes","yes","no",4,3,5,1,5,2,2,16,16,16,"mother",1,2,0,"no","yes","no","yes","yes","no",4,3,5,1,5,2,2,14,14,15,14.2967733728887,1,1,71,14.3918984600984,0.608101539901552,16.2274903685852,-0.227490368585215
"GP","F",16,"U","GT3","T",4,3,"other","at_home","course","yes","yes","mother",1,3,0,"yes","yes","yes","no","yes","no",5,3,5,1,1,3,0,7,9,8,"mother",1,3,0,"yes","yes","no","no","yes","no",5,3,5,1,1,3,2,12,13,13,12.4094850831703,1,1,72,13.3269575808152,-0.326957580815229,8.49664420739866,-0.496644207398663
"GP","F",16,"U","GT3","T",4,3,"teacher","health","home","yes","yes","mother",1,3,0,"yes","yes","yes","yes","yes","no",3,4,4,2,4,4,2,10,9,9,"mother",1,3,0,"yes","yes","no","yes","yes","no",3,4,4,2,4,4,0,14,13,13,14.2967733728887,1,1,73,13.3269575808152,-0.326957580815229,8.49664420739866,0.503355792601337
"GP","F",16,"U","GT3","T",4,3,"teacher","other","other","yes","yes","mother",1,2,0,"no","no","yes","yes","yes","yes",1,3,2,1,1,1,10,11,12,13,"mother",1,2,0,"no","no","no","yes","yes","yes",1,3,2,1,1,1,4,14,15,15,14.2967733728887,1,1,74,15.4568393393817,-0.456839339381668,11.8098639907643,1.19013600923567
"GP","F",16,"U","GT3","T",4,4,"health","health","reputation","yes","yes","mother",1,2,0,"no","yes","yes","no","yes","yes",4,4,2,1,1,3,0,14,14,14,"mother",1,2,0,"no","yes","no","no","yes","yes",4,4,2,1,1,3,0,16,16,17,16.1840616626071,1,1,75,16.5217802186649,0.478219781335113,14.0186771796748,-0.0186771796747731
"GP","F",16,"U","GT3","T",4,4,"health","other","home","yes","yes","mother",1,1,0,"no","yes","no","no","yes","no",4,4,4,1,2,2,4,14,14,14,"mother",1,1,0,"no","yes","no","no","yes","no",4,4,4,1,2,2,6,17,17,17,17.1277058074663,1,1,76,17.5867210979481,-0.586721097948107,14.0186771796748,-0.0186771796747731
"GP","F",16,"U","GT3","T",4,4,"other","other","reputation","no","yes","mother",1,1,0,"no","no","no","yes","yes","no",5,3,4,1,2,1,6,11,14,14,"mother",1,1,0,"no","no","no","yes","yes","no",5,3,4,1,2,1,4,12,13,13,12.4094850831703,1,1,77,13.3269575808152,-0.326957580815229,14.0186771796748,-0.0186771796747731
